age,gender,track,g7_filipino,g7_english,g7_math,g7_science,g7_ap,g7_tle,g7_mapeh,g7_esp,g8_filipino,g8_english,g8_math,g8_science,g8_ap,g8_tle,g8_mapeh,g8_esp,g9_filipino,g9_english,g9_math,g9_science,g9_ap,g9_tle,g9_mapeh,g9_esp,g10_filipino,g10_english,g10_math,g10_science,g10_ap,g10_tle,g10_mapeh,g10_esp
15,Female,Academic,95.62,91.02,95.99,82.32,90.81,76.07,96.55,95.38,76.02,92.72,84.42,86.68,78.23,87.13,99.45,96.16,85.52,79.13,75.39,97.73,89.75,92.51,96.84,86.43,96.48,84.75,76.66,77.49,99.57,83.4,95.18,94.64
18,Male,TVL,91.97,92.79,96.96,94.97,81.51,85.98,94.19,79.5,81.75,99.41,85.96,99.86,82.86,84.8,94.9,87.15,88.41,79.83,99.4,80.84,89.23,88.79,78.39,87.73,88.21,84.72,86.78,93.33,91.54,90.43,90.5,79.34
16,Female,TVL,88.13,98.15,91.65,76.26,94.36,84.9,89.6,78.5,96.79,87.27,99.67,92.46,79.89,94.81,92.21,77.69,84.75,76.15,99.36,84.8,85.05,99.25,79.01,90.86,99.71,81.71,79.88,79.36,97.93,97.09,85.34,98.12
15,Male,Academic,87.34,77.79,87.6,75.65,93.92,90.41,77.04,98.03,98.62,99.01,97.45,82.81,78.35,76.87,80.02,85.9,92.09,86.75,84.73,84.44,96.95,92.06,86.12,78.75,97.63,90.59,75.07,89.17,90.14,90.8,91.4,92.54
18,Male,TVL,82.18,88.55,75.65,95.01,86.36,77.79,94.57,79.54,75.96,86.79,92.24,85.86,99.26,89.83,76.93,86.66,85.67,88.75,82.8,81.24,75.99,77.03,76.08,75.56,76.69,87.57,98.89,99.45,80.76,93.94,97.72,83.96
18,Female,Academic,92.25,78.89,98.01,91.28,75.27,97.31,84.99,91.39,94.31,96.05,78.68,99.27,88.56,80.19,80.35,90.98,77.82,99.51,75.51,87.14,97.12,79.19,99.19,81.99,82.83,91.49,87.05,82.84,89.46,82.05,86.14,95.35
15,Female,TVL,88.27,82.91,83.56,82.77,84.02,84.54,91.06,77.71,93.71,76.28,96.85,98.95,75.28,75.37,84.12,79.62,78.04,98.18,85.49,89.83,96.52,94.32,76.1,94.28,78.28,82.25,97.28,94.03,87.88,93.99,86.61,84.96
18,Female,Academic,75.38,98.49,77.66,91.91,80.2,88.77,89.54,85.92,99.74,88.3,89.51,91.99,78.78,90.31,86.52,99.72,76.59,99.24,94.36,94.43,77.49,83.76,86.68,76.31,95.43,99.65,96.72,80.06,86.66,84.79,90.82,85.62
16,Male,Academic,75.18,81.21,80.43,93.73,90.29,79.29,94.03,76.29,82.27,75.67,97.68,99.01,94.17,82.81,83.13,93.53,76.2,84.12,77.94,78.95,77.9,99.09,76.51,91.44,99.39,88.35,91.18,85.75,90.8,89.55,96.12,77.01
15,Female,Academic,98.6,90.57,94.94,78.67,84.74,91.67,80.86,96.86,82.34,91.14,96.03,80.87,82.39,77.28,92.6,80.89,92.64,84.9,95.94,88.72,78,83.57,95.44,88.4,97.01,81.83,81.22,85.17,84.7,84.54,99.87,96.4
15,Female,Academic,85,85.37,78.25,84.73,76.88,91.72,80.4,98.88,89.66,79.26,97.33,77.23,86.25,77.25,89.73,98.76,82.09,97.52,98.14,76.98,82.05,84.31,81.96,76.82,77.98,79.83,87.65,82.84,96.14,92.9,88.25,75.67
16,Female,Academic,97.45,90.09,95.86,95.59,75.37,95.99,77.28,81.64,96.04,89.14,92.82,85.71,88.68,98.57,91.48,83.17,78.46,96.26,94.37,94.93,79.07,75.81,99.54,96.69,85.88,90.8,90.46,83.48,84.86,84.59,85.02,81.79
16,Female,Academic,80.26,87.05,89.18,79.06,83.88,81.12,76.71,85.47,83.6,89.91,92.53,95.03,83.85,90.91,96.28,94.14,96.82,93.79,84.58,91.85,83.82,92.67,84.2,86.04,82.71,99.96,75.37,98.51,98.92,81.92,96.61,81.51
15,Female,Academic,86.16,84,91.94,90.48,79.67,77.39,87.53,82.12,92.3,90.46,79.09,94,93.17,94.99,79.36,85.51,98.67,83.22,80.86,84.88,75.13,93.47,95.5,80.82,85.75,75.03,98.32,83.95,97.36,92.26,98.93,81.9
17,Female,TVL,89.5,91.09,96.01,76.01,83.14,86.96,96.59,96.81,90.18,77.59,93.07,88.87,75.75,77.05,78.91,91.53,85.8,79.14,76.33,86.61,88.36,91.57,82.5,85.31,77.25,84.49,88.83,75.26,90.41,87.68,81.12,85.45
18,Male,TVL,82.57,75.56,86.6,88.17,81.8,85,80.92,88.63,86.26,94.79,87.81,92.44,94.76,79.88,83.71,78.64,86.02,83.71,77.6,86.5,97.64,96.64,84.17,94.48,91.5,96,96.03,96.57,96.1,89.76,93.33,91.42
18,Male,Academic,97.67,75.33,79,81.16,94.83,82.98,75.01,91.4,78.87,86.69,86.1,99.15,88.78,96.5,86.17,78.82,77.05,97.25,96.37,86.26,86.01,75.52,96.8,99.69,97.29,95.52,84.34,86.67,91.82,90.93,86.75,82.97
16,Male,TVL,99.95,86.14,95.62,76.67,80.5,94.81,96.32,78.78,90.9,79.24,93.5,99.19,81.89,82.12,79.78,78.03,99.28,94.18,78.31,95.9,87.18,76.62,77.06,92.01,90.23,94.64,79.06,97.64,78.7,82.12,91.69,92.34
17,Female,TVL,87.28,89.21,98.3,81.57,82.23,99.31,96.19,98.1,80.18,92.02,87.61,89.98,96.44,76.19,92.48,82.87,89.12,91.89,92.8,92.89,90.36,96.46,76.26,75.62,92.27,90.01,79.16,95.81,91.62,83.92,97.64,78.63
16,Female,Academic,87.35,97.11,84.24,90.4,86.48,95.22,89.66,85.38,99.52,97.92,92.31,88.51,89.31,97.31,81.63,81.34,98.03,95.91,82.89,83.1,99.76,98.61,75.68,85.06,80.85,93.4,86.43,81.44,94.14,78.26,83.11,94
15,Female,TVL,78.76,90.37,88.11,97.99,83.72,79.46,98.42,87.79,83.68,85.71,79.99,95.97,94.26,84.69,91.72,89.48,91.32,99.25,75.98,92.84,82.6,88.53,94.27,86.53,95.85,82.97,99.69,91.96,92.01,97.54,89.09,84.57
18,Female,Academic,93.92,75.54,97.02,79.08,96.61,88.73,98.94,90.82,77.38,77.17,77.37,79.47,97.81,88.84,98.12,78.55,81.39,89.64,81.24,78.58,82.44,77.21,78.51,87.33,99.7,90.52,84.87,99.27,87.6,93.51,85.2,75.71
18,Female,Academic,91.59,93.9,92.94,97.07,89.84,90.69,98.51,96.53,92.32,81.02,75.74,85.16,92.58,97.84,95.51,98.39,76.07,83.37,78.93,82.95,91.41,76.06,91.87,93.73,88.1,75.12,78,91,91.45,82.34,76.71,84.38
18,Male,TVL,76.68,77.06,87.32,88.84,82.51,80.78,79.8,78.68,82.04,94.96,81.56,93.77,84.24,85.08,85.18,77.76,81.45,92.93,99.11,84.8,95.49,95.95,91.65,95.52,84.84,79.82,75.5,98.71,82.29,99.26,80.38,80.3
15,Female,Academic,84.26,87.18,97.35,89.91,86.38,92.01,79.95,82.52,83.63,86.94,87.53,75.8,81.91,78.27,75.52,79.64,99.34,79.4,87.33,83.3,87.43,75.19,98.51,94.37,97.74,92.37,90.93,84.05,91.19,81.41,86.35,92.06
15,Male,TVL,99.63,98.82,89.8,81.9,95.68,79.89,87.51,98.84,83.54,99.44,87.47,93.61,99.68,86.63,91.19,95.19,80.71,80.02,91.06,97.02,78.29,99.75,78,92.34,97.17,81.49,79.73,86.51,82.17,89.77,96.93,75.56
15,Male,TVL,94.54,77.93,98.26,75.19,96.89,94.18,88.68,93.17,78.4,76.08,91.56,93.43,81.44,98.51,83.98,98.32,97.33,85.62,91.82,92.26,91.43,78.09,78.84,86.56,80.48,75.14,90.79,98.33,94.13,94.28,86.98,81.99
18,Male,TVL,92.02,88.36,83.22,87.68,91.21,85.05,84.2,94.28,78.89,96.86,97.5,93.69,86.53,75.83,92.02,84.31,96.15,88.95,81.23,99.97,94.71,77.47,81.2,90.42,78.84,97.08,83.46,95.34,87.08,92.83,86.39,90.92
16,Male,Academic,86,86.3,75.11,98.7,92.03,90.29,76.31,93.32,80.4,78.57,78.81,84.77,95.5,96.45,96.54,99.08,79.26,99.23,98.43,89.32,77.35,96.48,92.49,84.18,85.91,79.63,95.68,95.85,79.7,84.22,89.97,92.13
15,Female,Academic,99.15,75.54,88.78,77.04,89.83,75.42,87.45,84.98,98.27,80.18,85.47,99.13,89.6,88.57,92.87,93.13,87.04,81.56,76.97,88.04,94.37,81.39,75.07,77.67,77.05,86.02,98.04,86.13,83.45,82.64,92.54,97.09
18,Female,Academic,90.95,88.97,91.04,95.65,78.88,87.05,79.96,85.95,91.79,85.93,98.58,99.28,85.62,82.57,77.64,97.27,88.01,95.36,83.36,98.03,81.6,86.69,99.03,78.22,76.41,89.6,90.43,83.41,96.37,79.22,94.06,91.46
16,Male,TVL,97.53,75.17,80.3,86.87,85.16,95.58,94.98,77.79,89.35,97.2,98.3,88.82,85.97,96.03,81.56,97.09,81.81,92.92,84.57,97.35,89.53,91.97,77.85,95.73,86.96,98.98,97.46,95.33,81.64,85.46,90.29,83.14
18,Female,TVL,81.59,81.28,75.66,96.25,80.2,85.44,80.31,89.06,97.89,92.61,79.08,92.48,94.6,99.04,80,97.09,99.35,95.98,92.55,87.89,78.64,84.84,83.5,76.5,99.08,84.87,88.65,96.28,94.17,85.29,87.14,83.03
