age,gender,track,strand,g7_filipino,g7_english,g7_math,g7_science,g7_ap,g7_tle,g7_mapeh,g7_esp,g7_average,g8_filipino,g8_english,g8_math,g8_science,g8_ap,g8_tle,g8_mapeh,g8_esp,g8_average,g9_filipino,g9_english,g9_math,g9_science,g9_ap,g9_tle,g9_mapeh,g9_esp,g9_average,g10_filipino,g10_english,g10_math,g10_science,g10_ap,g10_tle,g10_mapeh,g10_esp,g10_average
15,Female,Academic,STEM,95.62,91.02,95.99,82.32,90.81,76.07,96.55,95.38,88.09,76.02,92.72,84.42,86.68,78.23,87.13,99.45,96.16,89.28,85.52,79.13,75.39,97.73,89.75,92.51,96.84,86.43,89.26,96.48,84.75,76.66,77.49,99.57,83.4,95.18,94.64,83.12
18,Male,TVL,IA-AS,91.97,92.79,96.96,94.97,81.51,85.98,94.19,79.5,83.27,81.75,99.41,85.96,99.86,82.86,84.8,94.9,87.15,83.61,88.41,79.83,99.4,80.84,89.23,88.79,78.39,87.73,87.83,88.21,84.72,86.78,93.33,91.54,90.43,90.5,79.34,87.17
16,Female,TVL,IA-CES/EPAS,88.13,98.15,91.65,76.26,94.36,84.9,89.6,78.5,87.34,96.79,87.27,99.67,92.46,79.89,94.81,92.21,77.69,87.61,84.75,76.15,99.36,84.8,85.05,99.25,79.01,90.86,88.66,99.71,81.71,79.88,79.36,97.93,97.09,85.34,98.12,82.09
15,Male,Academic,HUMSS,87.34,77.79,87.6,75.65,93.92,90.41,77.04,98.03,88.36,98.62,99.01,97.45,82.81,78.35,76.87,80.02,85.9,87.15,92.09,86.75,84.73,84.44,96.95,92.06,86.12,78.75,86.48,97.63,90.59,75.07,89.17,90.14,90.8,91.4,92.54,91.21
18,Male,TVL,ICT,82.18,88.55,75.65,95.01,86.36,77.79,94.57,79.54,93.63,75.96,86.79,92.24,85.86,99.26,89.83,76.93,86.66,87.23,85.67,88.75,82.8,81.24,75.99,77.03,76.08,75.56,94.27,76.69,87.57,98.89,99.45,80.76,93.94,97.72,83.96,90.74
18,Female,Academic,HUMSS,92.25,78.89,98.01,91.28,75.27,97.31,84.99,91.39,86.81,94.31,96.05,78.68,99.27,88.56,80.19,80.35,90.98,90.14,77.82,99.51,75.51,87.14,97.12,79.19,99.19,81.99,83.42,82.83,91.49,87.05,82.84,89.46,82.05,86.14,95.35,89.15
15,Female,TVL,HE,88.27,82.91,83.56,82.77,84.02,84.54,91.06,77.71,83.06,93.71,76.28,96.85,98.95,75.28,75.37,84.12,79.62,85.54,78.04,98.18,85.49,89.83,96.52,94.32,76.1,94.28,89.01,78.28,82.25,97.28,94.03,87.88,93.99,86.61,84.96,84.56
18,Female,Academic,HUMSS,75.38,98.49,77.66,91.91,80.2,88.77,89.54,85.92,89.07,99.74,88.3,89.51,91.99,78.78,90.31,86.52,99.72,85.41,76.59,99.24,94.36,94.43,77.49,83.76,86.68,76.31,89.8,95.43,99.65,96.72,80.06,86.66,84.79,90.82,85.62,85.11
16,Male,Academic,ABM,75.18,81.21,80.43,93.73,90.29,79.29,94.03,76.29,87.88,82.27,75.67,97.68,99.01,94.17,82.81,83.13,93.53,85.1,76.2,84.12,77.94,78.95,77.9,99.09,76.51,91.44,89.91,99.39,88.35,91.18,85.75,90.8,89.55,96.12,77.01,85.08
15,Female,Academic,STEM,98.6,90.57,94.94,78.67,84.74,91.67,80.86,96.86,90.22,82.34,91.14,96.03,80.87,82.39,77.28,92.6,80.89,85.79,92.64,84.9,95.94,88.72,78,83.57,95.44,88.4,90.44,97.01,81.83,81.22,85.17,84.7,84.54,99.87,96.4,85.83
15,Female,Academic,HUMSS,85,85.37,78.25,84.73,76.88,91.72,80.4,98.88,88.45,89.66,79.26,97.33,77.23,86.25,77.25,89.73,98.76,91.44,82.09,97.52,98.14,76.98,82.05,84.31,81.96,76.82,83.24,77.98,79.83,87.65,82.84,96.14,92.9,88.25,75.67,87.02
16,Female,Academic,ABM,97.45,90.09,95.86,95.59,75.37,95.99,77.28,81.64,87.01,96.04,89.14,92.82,85.71,88.68,98.57,91.48,83.17,86.54,78.46,96.26,94.37,94.93,79.07,75.81,99.54,96.69,87.35,85.88,90.8,90.46,83.48,84.86,84.59,85.02,81.79,91.3
